name,domain,year founded,industry
nasa,nasa.gov,1958,aviation & aerospace
new york university,nyu.edu,1831,higher education
kotak mahindra bank,kotak.com,1985,banking
university of pennsylvania,upenn.edu,,higher education
paypal,paypal.com,1998,internet
the goodyear tire & rubber company,goodyear.com,1898,automotive
fifth third bank,53.com,1858,financial services
intertek,intertek.com,1885,international trade and development
wells fargo home mortgage,,,banking
symantec,symantec.com,1982,computer software
unicef,unicef.org,1946,non-profit organization management
uc berkeley,berkeley.edu,1868,higher education
nsw department of education and communities,nsw.gov.au,1848,education management
"starwood hotels & resorts worldwide, inc.",starwoodhotels.com,1980,hospitality
quest diagnostics,questdiagnostics.com,1967,hospital & health care
sam's club,samsclub.com,,retail
geen,wizzfox.nl,,information technology and services
rutgers university,rutgers.edu,,higher education
ing,ing.nl,,banking
ge capital,gecapital.com,,financial services
education nationale,cdillinger.co.uk,,arts and crafts
westpac,westpac.com.au,1817,banking
governo do estado de são paulo,gruffi.com,,security and investigations
northern trust corporation,northerntrust.com,1889,financial services
sasol,sasol.com,1950,chemicals
electrolux,electroluxgroup.com,1919,consumer goods
claro,claro.com.br,2003,telecommunications
university of wisconsin-madison,wisc.edu,,higher education
pivate institute,,,information technology and services
inps,,,information technology and services
general mills,generalmills.com,1928,consumer goods
aim,,1962,retail
unisys,unisys.com,,information technology and services
burger king corporation,bk.com,1954,restaurants
tetra pak,tetrapak.com,,packaging and containers
coca-cola femsa,coca-colafemsa.com,1993,food & beverages
cnh industrial,cnhindustrial.com,2013,machinery
banner health,bannerhealth.com,1999,hospital & health care
upmc,upmc.com,1986,hospital & health care
american family insurance,amfam.com,1927,insurance
hsbc global banking and markets,hsbcnet.com,1865,financial services
saint-gobain,saint-gobain.com,,building materials
indian railways,indianrailways.gov.in,,transportation/trucking/railroad
aerotek,aerotek.com,1983,staffing and recruiting
m&t bank,mtb.com,1856,financial services
visa,visa.com,1958,information technology and services
dimension data,dimensiondata.com,1983,information technology and services
national grid,nationalgrid.com,1990,utilities
fnb south africa,fnb.co.za,1838,banking
mapfre,mapfre.com,1935,insurance
govt. of india,,,government administration
general dynamics information technology,gdit.com,,information technology and services
etisalat,etisalat.com,1976,telecommunications
reliance communications,rcom.co.in,2002,telecommunications
atkins,atkinsglobal.com,1938,design
pt bank mandiri (persero) tbk.,bankmandiri.co.id,1998,banking
marsh,marsh.com,,insurance
klm,klmf.ly,,airlines/aviation
cintas,cintas.com,1968,facilities services
aker solutions,akersolutions.com,1841,oil & energy
zte,zte.com.cn,1985,telecommunications
centers for disease control and prevention,cdc.gov,1946,government administration
veolia,veolia.com,1853,environmental services
applied materials,appliedmaterials.com,1967,semiconductors
ebay,ebayinc.com,1995,internet
first data corporation,firstdata.com,1971,financial services
charles schwab,schwab.com,1973,financial services
tata steel,tatasteel.com,1907,mining & metals
parker hannifin,parker.com,1918,mechanical or industrial engineering
advocare,advocare.com,1993,"health, wellness and fitness"
the world bank,worldbank.org,1944,international trade and development
d&d social networks sourcing,,,outsourcing/offshoring
royal mail,royalmailgroup.com,1840,logistics and supply chain
petronas,petronas.com,1974,oil & energy
fairfax county public schools,fcps.edu,,primary/secondary education
procter & gamble,,1837,consumer goods
us forest service,fs.fed.us,1905,government administration
autonomo,santiroman.es,,photography
wns global services,wns.com,1996,outsourcing/offshoring
victoria's secret,victoriassecret.com,1977,retail
mastercard,mastercard.com,1966,information technology and services
volvo car group,volvocars.com,1927,automotive
stantec,stantec.com,1954,design
everis,everis.com,1996,management consulting
scania,scania.com,,automotive
waste management,wm.com,1894,environmental services
machine vibration engineers,,,mechanical or industrial engineering
massachusetts general hospital,massgeneral.org,1811,hospital & health care
solvay,solvay.com,,chemicals
aucune,ecoledesparents.be,,non-profit organization management
world vision,wvi.org,1950,non-profit organization management
syntel,syntelinc.com,1980,information technology and services
northwell health,northwell.edu,1997,hospital & health care
